Feature,Family,Split,Is_Vehicle_Dimension,Vehicle_Dimension_Bound_Applied,Imputation,Train_Median_Used,Lower_Bound,Upper_Bound,Missing_Before,Min_Before_Clip,Max_Before_Clip,Min_After_Clip,Max_After_Clip,Below_Bound_Before,Above_Bound_Before,Violation_After,Clip_Count,Extreme_Value_Warning,Train_Missing_Before,Test_Missing_Before,Transform,Missing_Token,Train_Level_N,Test_Unseen_Level_N,Test_Unseen_Levels
VEH_本次碰撞前是否制动(BRAKEBEF),crash_type,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,6.0,0.0,
VEH_本次碰撞前是否转向(STEERING),crash_type,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,7.0,0.0,
VEH_本次碰撞前的小碰撞(SMIMPCT),crash_type,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,2.0,1.0,177-路牙石
VEH_是否与柱状物碰撞(COLUCOLLI),crash_type,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,2.0,0.0,
VEH_柱状物离道路的距离(MABST),other,,,,,,,,,,,,,,,,,,,,binary_as_0_1,,,,
VEH_是否驶入沟渠(DIDITCH),other,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,2.0,0.0,
VEH_沟渠深度(DITCHDPT),other,,,,,,,,,,,,,,,,,,,,binary_as_0_1,,,,
VEH_沟渠宽度(DITWIDTH),other,,,,,,,,,,,,,,,,,,,,binary_as_0_1,,,,
VEH_沟渠与道路水平面的高度差(ALTDIFF),other,,,,,,,,,,,,,,,,,,,,binary_as_0_1,,,,
VEH_沟渠中心与道路边沿的水平距离(HORDIST),other,,,,,,,,,,,,,,,,,,,,binary_as_0_1,,,,
VEH_沟渠水深(WATDEP),other,,,,,,,,,,,,,,,,,,,,binary_as_0_1,,,,
VEH_是否驶入边坡(SIDERAMP),other,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,3.0,0.0,
VEH_是否与护栏碰撞(BARRCOLLI),crash_type,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,3.0,0.0,
VEH_护栏类型(PLANKEA),other,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,4.0,1.0,3-左侧道路边缘
VEH_护栏导轨类型(SPLANKE),other,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,3.0,1.0,8-标准距离护栏(B型)
VEH_护栏立柱间距(SPPFOST),other,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,3.0,1.0,3-间距为 400cm
VEH_与护栏碰撞的事故类型(PLANKEK),crash_type,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,4.0,1.0,3-刮擦
FEATURE_Is_RushHour,other,,,,,,,,,,,,,,,,,,,,binary_as_0_1,,,,
FEATURE_Is_Night,light,,,,,,,,,,,,,,,,,,,,binary_as_0_1,,,,
FEATURE_Is_Weekend,other,,,,,,,,,,,,,,,,,,,,binary_as_0_1,,,,
FEATURE_Opp_Is_PureEV,other,,,,,,,,,,,,,,,,,,,,binary_as_0_1,,,,
FEATURE_Opp_Is_HybridEV,vehicle_state,,,,,,,,,,,,,,,,,,,,binary_as_0_1,,,,
FEATURE_Opp_Is_NEV,vehicle_state,,,,,,,,,,,,,,,,,,,,binary_as_0_1,,,,
FEATURE_Opp_Powertrain,vehicle_state,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,4.0,0.0,
FEATURE_Age_Group,age,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,4.0,0.0,
VEH_FEATURE_Speed_Group,other,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,4.0,0.0,
